Loop_counter,BAS Score Test,params,mean_test_score,std_test_score,mean_train_score,std_train_score,data_sampler_sampling_method,scaler_name,feature_adder_auto_encoder_on,feature_adder_clustering_on,feature_adder_custom_on,feature_adder_n_clusters,feature_adder_n_encoder_features,classifier_classifier
0,0.6152777777777777,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'auto'}",0.6693287037037037,0.03434224964379455,0.9153549382716049,0.0018580927645223326,None,robustscaler,False,False,False,16,32,BalancedRandomForestClassifier
0,0.6152777777777777,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'all'}",0.6591435185185185,0.023097456068836883,0.9158179012345677,0.002040016059629984,None,robustscaler,False,False,False,16,32,BalancedRandomForestClassifier
0,0.6152777777777777,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'majority'}",0.6550925925925926,0.02599404081227738,0.9158050411522634,0.0015063872467926806,None,robustscaler,False,False,False,16,32,BalancedRandomForestClassifier
0,0.6152777777777777,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'not majority'}",0.45462962962962966,0.021793707955444108,1.0,0.0,None,robustscaler,False,False,False,16,32,BalancedRandomForestClassifier
1,0.6152777777777777,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'auto'}",0.6693287037037037,0.03434224964379455,0.9153549382716049,0.0018580927645223326,None,robustscaler,False,False,False,16,64,BalancedRandomForestClassifier
1,0.6152777777777777,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'all'}",0.6591435185185185,0.023097456068836883,0.9158179012345677,0.002040016059629984,None,robustscaler,False,False,False,16,64,BalancedRandomForestClassifier
1,0.6152777777777777,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'majority'}",0.6550925925925926,0.02599404081227738,0.9158050411522634,0.0015063872467926806,None,robustscaler,False,False,False,16,64,BalancedRandomForestClassifier
1,0.6152777777777777,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'not majority'}",0.45462962962962966,0.021793707955444108,1.0,0.0,None,robustscaler,False,False,False,16,64,BalancedRandomForestClassifier
2,0.6240740740740741,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'majority'}",0.6662037037037039,0.02660627646229231,0.9170524691358025,0.002565578362044802,None,robustscaler,False,False,True,16,32,BalancedRandomForestClassifier
2,0.6240740740740741,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'auto'}",0.6585648148148149,0.02219085363186452,0.9167438271604939,0.0019799515693330666,None,robustscaler,False,False,True,16,32,BalancedRandomForestClassifier
2,0.6240740740740741,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'all'}",0.6570601851851852,0.02772008862926921,0.9167309670781894,0.002838118482481208,None,robustscaler,False,False,True,16,32,BalancedRandomForestClassifier
2,0.6240740740740741,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'not majority'}",0.4604166666666667,0.02287336912414005,1.0,0.0,None,robustscaler,False,False,True,16,32,BalancedRandomForestClassifier
3,0.6157407407407408,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'all'}",0.6659722222222222,0.020763772760730638,0.9182741769547323,0.0026425826373500934,None,robustscaler,False,False,True,16,64,BalancedRandomForestClassifier
3,0.6157407407407408,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'majority'}",0.662037037037037,0.02568297208014843,0.9174511316872428,0.001499123794311688,None,robustscaler,False,False,True,16,64,BalancedRandomForestClassifier
3,0.6157407407407408,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'auto'}",0.6612268518518519,0.02967593495406349,0.9178883744855966,0.0022194356123228934,None,robustscaler,False,False,True,16,64,BalancedRandomForestClassifier
3,0.6157407407407408,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'not majority'}",0.4577546296296296,0.014467592592592598,0.9998456790123456,0.00030864197530866555,None,robustscaler,False,False,True,16,64,BalancedRandomForestClassifier
4,0.6314814814814814,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'auto'}",0.669675925925926,0.01867841846052701,0.9179269547325102,0.002106699730424415,None,robustscaler,False,True,False,16,32,BalancedRandomForestClassifier
4,0.6314814814814814,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'all'}",0.6633101851851853,0.029582799001144442,0.9179398148148149,0.002563934060039632,None,robustscaler,False,True,False,16,32,BalancedRandomForestClassifier
4,0.6314814814814814,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'majority'}",0.6569444444444444,0.02210133011533335,0.9176311728395061,0.0028843590739726487,None,robustscaler,False,True,False,16,32,BalancedRandomForestClassifier
4,0.6314814814814814,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'not majority'}",0.46018518518518514,0.01990740740740741,1.0,0.0,None,robustscaler,False,True,False,16,32,BalancedRandomForestClassifier
5,0.6328703703703703,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'majority'}",0.6636574074074074,0.029226313202351074,0.9178240740740741,0.0018104876769936592,None,robustscaler,False,True,False,16,64,BalancedRandomForestClassifier
5,0.6328703703703703,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'all'}",0.6606481481481481,0.030765273566363258,0.9172196502057612,0.0028374191370674194,None,robustscaler,False,True,False,16,64,BalancedRandomForestClassifier
5,0.6328703703703703,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'auto'}",0.6603009259259258,0.025871356674774814,0.9169238683127572,0.001538917212104061,None,robustscaler,False,True,False,16,64,BalancedRandomForestClassifier
5,0.6328703703703703,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'not majority'}",0.46307870370370374,0.01641275529954168,1.0,0.0,None,robustscaler,False,True,False,16,64,BalancedRandomForestClassifier
6,0.6314814814814814,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'all'}",0.6725694444444443,0.023005637709626953,0.9191872427983538,0.0025682843292770597,None,robustscaler,False,True,True,16,32,BalancedRandomForestClassifier
6,0.6314814814814814,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'majority'}",0.6719907407407407,0.02816188900722782,0.9190200617283951,0.001579278845630295,None,robustscaler,False,True,True,16,32,BalancedRandomForestClassifier
6,0.6314814814814814,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'auto'}",0.6667824074074074,0.02752318708529157,0.9178755144032922,0.001406636719534487,None,robustscaler,False,True,True,16,32,BalancedRandomForestClassifier
6,0.6314814814814814,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'not majority'}",0.45798611111111115,0.01829326253619368,0.9999228395061728,0.0002314814814814992,None,robustscaler,False,True,True,16,32,BalancedRandomForestClassifier
7,0.6351851851851852,"{'class_weight': 'balanced_subsample', 'max_features': 'auto', 'random_state': 41, 'sampling_strategy': 'auto'}",0.672337962962963,0.03122190952844164,0.9191615226337448,0.0016926526114992588,None,robustscaler,False,True,True,16,64,BalancedRandomForestClassifier
