Loop_counter,BAS Score Test,params,mean_test_score,std_test_score,mean_train_score,std_train_score,data_sampler_sampling_method,scaler_name,feature_adder_auto_encoder_on,feature_adder_clustering_on,feature_adder_custom_on,feature_adder_n_clusters,feature_adder_n_encoder_features,classifier_classifier
0,0.6837962962962963,"{'C': 1.1, 'gamma': 0.001, 'kernel': 'rbf', 'probability': False}",0.7082175925925926,0.01821547472276958,0.8743184156378602,0.0041160501040223545,None,robustscaler,False,False,False,16,32,SVC
0,0.6837962962962963,"{'C': 1.1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': False}",0.6929398148148148,0.024404834718708145,0.9236239711934158,0.002894204308305609,None,robustscaler,False,False,False,16,32,SVC
1,0.6787037037037037,"{'C': 1.1, 'gamma': 0.001, 'kernel': 'rbf', 'probability': False}",0.7069444444444444,0.017642776863232627,0.8753472222222222,0.004399219691140788,None,robustscaler,False,False,True,16,32,SVC
1,0.6787037037037037,"{'C': 1.1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': False}",0.694212962962963,0.022578642475178805,0.9229681069958848,0.002632393195789443,None,robustscaler,False,False,True,16,32,SVC
2,0.6912037037037037,"{'C': 1.1, 'gamma': 0.001, 'kernel': 'rbf', 'probability': False}",0.7084490740740741,0.0179711494566011,0.8750128600823045,0.0041053483878280735,None,robustscaler,False,True,False,16,32,SVC
2,0.6912037037037037,"{'C': 1.1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': False}",0.6951388888888889,0.022640261641331115,0.9231352880658438,0.002535132915577155,None,robustscaler,False,True,False,16,32,SVC
3,0.6842592592592593,"{'C': 1.1, 'gamma': 0.001, 'kernel': 'rbf', 'probability': False}",0.7081018518518518,0.01755142600672906,0.8778935185185185,0.0037335235377808436,None,robustscaler,False,True,True,16,32,SVC
3,0.6842592592592593,"{'C': 1.1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': False}",0.6935185185185185,0.02591558987084627,0.9210519547325104,0.0028879118062193634,None,robustscaler,False,True,True,16,32,SVC
4,0.6907407407407408,"{'C': 1.1, 'gamma': 0.001, 'kernel': 'rbf', 'probability': False}",0.708912037037037,0.017547227694423555,0.8796810699588477,0.003685799201167265,None,robustscaler,True,False,False,16,32,SVC
4,0.6907407407407408,"{'C': 1.1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': False}",0.6918981481481482,0.02444185767738484,0.9185442386831275,0.0031846300265336988,None,robustscaler,True,False,False,16,32,SVC
5,0.6921296296296297,"{'C': 1.1, 'gamma': 0.001, 'kernel': 'rbf', 'probability': False}",0.7009259259259258,0.01788709397865881,0.8820216049382716,0.003601833338575252,None,robustscaler,True,False,True,16,32,SVC
5,0.6921296296296297,"{'C': 1.1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': False}",0.6922453703703703,0.024576586313434068,0.9149562757201645,0.0035209627772787005,None,robustscaler,True,False,True,16,32,SVC
6,0.6935185185185185,"{'C': 1.1, 'gamma': 0.001, 'kernel': 'rbf', 'probability': False}",0.6981481481481481,0.017243428302281167,0.8833976337448559,0.0043860422580164005,None,robustscaler,True,True,False,16,32,SVC
6,0.6935185185185185,"{'C': 1.1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': False}",0.6909722222222222,0.021628349308885297,0.9137602880658436,0.003190337346365377,None,robustscaler,True,True,False,16,32,SVC
7,0.6856481481481481,"{'C': 1.1, 'gamma': 0.001, 'kernel': 'rbf', 'probability': False}",0.6983796296296296,0.019806213519103895,0.8873456790123455,0.004639977575736149,None,robustscaler,True,True,True,16,32,SVC
7,0.6856481481481481,"{'C': 1.1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': False}",0.6917824074074074,0.02402310532247456,0.9101851851851851,0.004026746211236154,None,robustscaler,True,True,True,16,32,SVC
