Loop_counter,BAS Score Test,params,mean_test_score,std_test_score,mean_train_score,std_train_score,data_sampler_sampling_method,scaler_name,feature_adder_auto_encoder_on,feature_adder_clustering_on,feature_adder_custom_on,feature_adder_lda_on,feature_adder_lda_shrinkage,feature_adder_n_clusters,feature_adder_n_encoder_features,classifier_classifier
0,0.6847222222222222,"{'C': 1.1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': False}",0.7006944444444445,0.021045728023482795,0.9258101851851851,0.002463268115853599,None,robustscaler,False,False,False,True,0.9,16,16,SVC
1,0.6847222222222222,"{'C': 1.1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': False}",0.7006944444444445,0.021045728023482795,0.9258101851851851,0.002463268115853599,None,robustscaler,False,False,False,True,0.9,16,32,SVC
2,0.6773148148148148,"{'C': 1.1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': False}",0.6929398148148148,0.024404834718708145,0.9236239711934158,0.002894204308305609,None,robustscaler,False,False,False,False,0.9,16,16,SVC
3,0.6773148148148148,"{'C': 1.1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': False}",0.6929398148148148,0.024404834718708145,0.9236239711934158,0.002894204308305609,None,robustscaler,False,False,False,False,0.9,16,32,SVC
4,0.6865740740740741,"{'C': 1.1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': False}",0.6953703703703703,0.0202582668691873,0.9246013374485595,0.0028525332341926475,None,robustscaler,False,False,True,True,0.9,16,16,SVC
5,0.6865740740740741,"{'C': 1.1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': False}",0.6953703703703703,0.0202582668691873,0.9246013374485595,0.0028525332341926475,None,robustscaler,False,False,True,True,0.9,16,32,SVC
6,0.686111111111111,"{'C': 1.1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': False}",0.694212962962963,0.022578642475178805,0.9229681069958848,0.002632393195789443,None,robustscaler,False,False,True,False,0.9,16,16,SVC
7,0.686111111111111,"{'C': 1.1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': False}",0.694212962962963,0.022578642475178805,0.9229681069958848,0.002632393195789443,None,robustscaler,False,False,True,False,0.9,16,32,SVC
8,0.6907407407407408,"{'C': 1.1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': False}",0.7006944444444444,0.020666772450943935,0.92568158436214,0.002580009442360817,None,robustscaler,False,True,False,True,0.9,16,16,SVC
9,0.6907407407407408,"{'C': 1.1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': False}",0.7006944444444444,0.020666772450943935,0.92568158436214,0.002580009442360817,None,robustscaler,False,True,False,True,0.9,16,32,SVC
10,0.6810185185185186,"{'C': 1.1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': False}",0.6935185185185185,0.024282396373969183,0.9236625514403294,0.0025907241454515466,None,robustscaler,False,True,False,False,0.9,16,16,SVC
11,0.6810185185185186,"{'C': 1.1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': False}",0.6935185185185185,0.024282396373969183,0.9236625514403294,0.0025907241454515466,None,robustscaler,False,True,False,False,0.9,16,32,SVC
12,0.6935185185185185,"{'C': 1.1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': False}",0.6980324074074074,0.023323697764302903,0.9245370370370372,0.002793214613217757,None,robustscaler,False,True,True,True,0.9,16,16,SVC
13,0.6935185185185185,"{'C': 1.1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': False}",0.6980324074074074,0.023323697764302903,0.9245370370370372,0.002793214613217757,None,robustscaler,False,True,True,True,0.9,16,32,SVC
14,0.6870370370370371,"{'C': 1.1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': False}",0.693287037037037,0.022233070268864084,0.9229295267489712,0.0027915859078783373,None,robustscaler,False,True,True,False,0.9,16,16,SVC
15,0.6870370370370371,"{'C': 1.1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': False}",0.693287037037037,0.022233070268864084,0.9229295267489712,0.0027915859078783373,None,robustscaler,False,True,True,False,0.9,16,32,SVC
16,0.6837962962962963,"{'C': 1.1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': False}",0.701388888888889,0.022293241069743307,0.925244341563786,0.0026116101136684127,None,robustscaler,True,False,False,True,0.9,16,16,SVC
17,0.6856481481481481,"{'C': 1.1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': False}",0.7,0.02036379313008063,0.924537037037037,0.0028091553895447097,None,robustscaler,True,False,False,True,0.9,16,32,SVC
18,0.6805555555555555,"{'C': 1.1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': False}",0.6925925925925926,0.023940154581199847,0.9229423868312757,0.002845422171056202,None,robustscaler,True,False,False,False,0.9,16,16,SVC
19,0.6805555555555555,"{'C': 1.1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': False}",0.6936342592592593,0.02629659175955555,0.9221450617283949,0.002747486685178722,None,robustscaler,True,False,False,False,0.9,16,32,SVC
20,0.6865740740740741,"{'C': 1.1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': False}",0.6973379629629629,0.023178510180567557,0.9239068930041151,0.0029628747718499454,None,robustscaler,True,False,True,True,0.9,16,16,SVC
21,0.6930555555555555,"{'C': 1.1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': False}",0.6994212962962962,0.020955467614500706,0.9235725308641974,0.0026280231883665803,None,robustscaler,True,False,True,True,0.9,16,32,SVC
22,0.6842592592592592,"{'C': 1.1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': False}",0.6918981481481481,0.02340024760107243,0.9223379629629628,0.002737385652420872,None,robustscaler,True,False,True,False,0.9,16,16,SVC
23,0.6935185185185185,"{'C': 1.1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': False}",0.6914351851851852,0.0261338389396374,0.9215277777777778,0.002872609640275663,None,robustscaler,True,False,True,False,0.9,16,32,SVC
